"","id","father_name","mother_name","gender","offspring","population","is_alive","is_married","id_partners_father","is_pregnant","kids_count"
"179",179,"r","q","M",16035,245,1,0,"NULL",0,0
"180",180,"s","p","M",14855,1425,1,0,"NULL",0,0
"181",181,"s","p","F",15859,421,1,0,"NULL",0,0
"182",182,"t","q","F",13805,2475,1,0,"NULL",0,0
"183",183,"t","q","M",14255,2025,1,0,"NULL",0,0
"184",184,"t","q","M",15306,974,1,0,"NULL",0,0
"185",185,"t","q","F",16191,89,1,0,"NULL",0,0
"186",186,"u","r","F",13542,2738,1,0,"NULL",0,0
"187",187,"u","r","M",14397,1883,1,0,"NULL",0,0
"188",188,"u","r","M",15298,982,1,0,"NULL",0,0
"189",189,"u","r","F",16023,257,1,0,"NULL",0,0
"190",190,"u","s","F",13818,2462,1,0,"NULL",0,0
"191",191,"u","s","M",14336,1944,1,0,"NULL",0,0
"192",192,"u","s","M",14802,1478,1,0,"NULL",0,0
"193",193,"u","s","M",15353,927,1,0,"NULL",0,0
"194",194,"u","s","M",16014,266,1,0,"NULL",0,0
"195",195,"u","q","M",13558,2722,1,0,"NULL",0,0
"196",196,"u","q","F",14633,1647,1,0,"NULL",0,0
"197",197,"u","q","F",15674,606,1,0,"NULL",0,0
"198",198,"v","t","F",13520,2760,1,0,"NULL",0,0
"199",199,"v","t","F",13977,2303,1,0,"NULL",0,0
"200",200,"v","t","F",14568,1712,1,0,"NULL",0,0
"201",201,"v","t","M",15151,1129,1,0,"NULL",0,0
"202",202,"v","t","F",16038,242,1,0,"NULL",0,0
"203",203,"v","q","F",14369,1911,1,0,"NULL",0,0
"204",204,"v","q","M",14912,1368,1,0,"NULL",0,0
"205",205,"v","q","M",15621,659,1,0,"NULL",0,0
"206",206,"v","q","F",16110,170,1,0,"NULL",0,0
"207",207,"y","s","F",14222,2058,1,0,"NULL",0,0
"208",208,"y","s","F",14719,1561,1,0,"NULL",0,0
"209",209,"y","s","F",15592,688,1,0,"NULL",0,0
"210",210,"y","s","F",14725,1555,1,0,"NULL",0,0
"211",211,"y","s","F",15530,750,1,0,"NULL",0,0
"212",212,"y","s","F",15995,285,1,0,"NULL",0,0
"213",213,"z","u","F",13366,2914,1,0,"NULL",0,0
"214",214,"z","u","M",14282,1998,1,0,"NULL",0,0
"215",215,"z","u","F",15368,912,1,0,"NULL",0,0
"216",216,"z","t","M",14044,2236,1,0,"NULL",0,0
"217",217,"z","t","F",14904,1376,1,0,"NULL",0,0
"218",218,"z","t","F",15953,327,1,0,"NULL",0,0
"219",219,"N","v","M",14040,2240,1,0,"NULL",0,0
"220",220,"N","v","F",14590,1690,1,0,"NULL",0,0
"221",221,"N","v","F",15123,1157,1,0,"NULL",0,0
"222",222,"N","v","M",16146,134,1,0,"NULL",0,0
"223",223,"N","t","M",15305,975,1,0,"NULL",0,0
"224",224,"N","t","F",15913,367,1,0,"NULL",0,0
"225",225,"O","w","M",12953,3327,1,0,"NULL",0,0
"226",226,"O","w","F",13400,2880,1,0,"NULL",0,0
"227",227,"O","w","F",14087,2193,1,0,"NULL",0,0
"228",228,"O","w","F",14898,1382,1,0,"NULL",0,0
"229",229,"O","w","M",15906,374,1,0,"NULL",0,0
"230",230,"P","w","M",13702,2578,1,0,"NULL",0,0
"231",231,"P","w","F",14572,1708,1,0,"NULL",0,0
"232",232,"P","w","F",15693,587,1,0,"NULL",0,0
"233",233,"P","w","F",14614,1666,1,0,"NULL",0,0
"234",234,"P","w","M",15415,865,1,0,"NULL",0,0
"235",235,"P","x","M",14882,1398,1,0,"NULL",0,0
"236",236,"P","x","M",15603,677,1,0,"NULL",0,0
"237",237,"P","x","F",16079,201,1,0,"NULL",0,0
"238",238,"Q","x","F",14568,1712,1,0,"NULL",0,0
"239",239,"Q","x","M",15539,741,1,0,"NULL",0,0
"240",240,"R","y","M",13403,2877,1,0,"NULL",0,0
"241",241,"R","y","M",13967,2313,1,0,"NULL",0,0
"242",242,"R","y","M",14616,1664,1,0,"NULL",0,0
"243",243,"R","y","M",15427,853,1,0,"NULL",0,0
"244",244,"R","z","M",13688,2592,1,0,"NULL",0,0
"245",245,"R","z","M",14699,1581,1,0,"NULL",0,0
"246",246,"R","z","M",15269,1011,1,0,"NULL",0,0
"247",247,"R","z","M",15742,538,1,0,"NULL",0,0
"248",248,"R","O","F",14153,2127,1,0,"NULL",0,0
"249",249,"R","O","M",15029,1251,1,0,"NULL",0,0
"250",250,"R","O","F",15540,740,1,0,"NULL",0,0
"251",251,"R","O","F",16126,154,1,0,"NULL",0,0
"252",252,"S","P","M",12922,3358,1,0,"NULL",0,0
"253",253,"S","P","M",13549,2731,1,0,"NULL",0,0
"254",254,"S","P","M",14372,1908,1,0,"NULL",0,0
"255",255,"S","P","F",14881,1399,1,0,"NULL",0,0
"256",256,"S","P","M",15968,312,1,0,"NULL",0,0
"257",257,"S","N","F",14653,1627,1,0,"NULL",0,0
"258",258,"S","N","M",15080,1200,1,0,"NULL",0,0
"259",259,"S","N","M",15606,674,1,0,"NULL",0,0
"260",260,"S","N","M",16136,144,1,0,"NULL",0,0
"261",261,"T","Q","M",13432,2848,1,0,"NULL",0,0
"262",262,"T","Q","F",14150,2130,1,0,"NULL",0,0
"263",263,"T","Q","F",14578,1702,1,0,"NULL",0,0
"264",264,"T","Q","F",15221,1059,1,0,"NULL",0,0
"265",265,"T","O","M",14090,2190,1,0,"NULL",0,0
"266",266,"T","O","M",14754,1526,1,0,"NULL",0,0
"267",267,"T","O","M",15573,707,1,0,"NULL",0,0
"268",268,"T","Q","F",14070,2210,1,0,"NULL",0,0
"269",269,"T","Q","F",14633,1647,1,0,"NULL",0,0
"270",270,"T","Q","M",15553,727,1,0,"NULL",0,0
"271",271,"U","S","F",13628,2652,1,0,"NULL",0,0
"272",272,"U","S","F",14558,1722,1,0,"NULL",0,0
"273",273,"U","S","M",15309,971,1,0,"NULL",0,0
"274",274,"U","S","M",15821,459,1,0,"NULL",0,0
"275",275,"U","S","M",14677,1603,1,0,"NULL",0,0
"276",276,"U","S","M",15741,539,1,0,"NULL",0,0
"277",277,"U","S","F",16154,126,1,0,"NULL",0,0
"278",278,"V","U","M",12766,3514,1,0,"NULL",0,0
"279",279,"V","U","F",13254,3026,1,0,"NULL",0,0
"280",280,"V","U","M",14349,1931,1,0,"NULL",0,0
"281",281,"V","U","F",14974,1306,1,0,"NULL",0,0
"282",282,"V","U","F",15761,519,1,0,"NULL",0,0
"283",283,"V","V","M",13151,3129,1,0,"NULL",0,0
"284",284,"V","V","F",13758,2522,1,0,"NULL",0,0
"285",285,"V","V","M",14400,1880,1,0,"NULL",0,0
"286",286,"V","V","M",15101,1179,1,0,"NULL",0,0
"287",287,"V","V","M",15951,329,1,0,"NULL",0,0
"288",288,"V","W","F",13896,2384,1,0,"NULL",0,0
"289",289,"V","W","F",14426,1854,1,0,"NULL",0,0
"290",290,"V","W","M",14983,1297,1,0,"NULL",0,0
"291",291,"V","W","F",15473,807,1,0,"NULL",0,0
"292",292,"V","W","M",16083,197,1,0,"NULL",0,0
"293",293,"W","X","F",13034,3246,1,0,"NULL",0,0
"294",294,"W","X","M",13992,2288,1,0,"NULL",0,0
"295",295,"W","X","M",14637,1643,1,0,"NULL",0,0
"296",296,"W","X","F",15465,815,1,0,"NULL",0,0
"297",297,"W","X","M",16046,234,1,0,"NULL",0,0
"298",298,"X","V","F",14397,1883,1,0,"NULL",0,0
"299",299,"X","V","M",15400,880,1,0,"NULL",0,0
"300",300,"X","V","M",16013,267,1,0,"NULL",0,0
"301",301,"Y","X","M",13797,2483,1,0,"NULL",0,0
"302",302,"Y","X","F",14598,1682,1,0,"NULL",0,0
"303",303,"Y","X","F",15142,1138,1,0,"NULL",0,0
"304",304,"Y","X","M",15609,671,1,0,"NULL",0,0
"305",305,"Y","P","M",15091,1189,1,0,"NULL",0,0
"306",306,"Y","P","F",16214,66,1,0,"NULL",0,0
"307",307,"Z","Y","F",14095,2185,1,0,"NULL",0,0
"308",308,"Z","Y","F",14801,1479,1,0,"NULL",0,0
"309",309,"Z","Y","M",15277,1003,1,0,"NULL",0,0
"310",310,"Z","Y","M",16138,142,1,0,"NULL",0,0
"311",311,"Z","W","M",15175,1105,1,0,"NULL",0,0
"312",312,"Z","W","F",15952,328,1,0,"NULL",0,0
